id,code,name,account_type,chart_template_id/id,reconcile
account101000,101000,Capital social,Equity,l10n_tn_account.l10n_tn_chart_template,FALSE
account101100,101100,Capital souscrit - non appele,Equity,l10n_tn_account.l10n_tn_chart_template,FALSE
account101200,101200,Capital souscrit - appele  non verse,Equity,l10n_tn_account.l10n_tn_chart_template,FALSE
account101310,101310,Capital non amorti,Equity,l10n_tn_account.l10n_tn_chart_template,FALSE
account101320,101320,Capital amorti,Equity,l10n_tn_account.l10n_tn_chart_template,FALSE
account101800,101800,Capital souscrit soumis a une reglementation particuliere,Equity,l10n_tn_account.l10n_tn_chart_template,FALSE
account105000,105000,Fonds de dotation,Equity,l10n_tn_account.l10n_tn_chart_template,FALSE
account108000,108000,Compte de l'exploitant,Equity,l10n_tn_account.l10n_tn_chart_template,FALSE
account109000,109000,Actionnaires  capital souscrit - non appele,Equity,l10n_tn_account.l10n_tn_chart_template,FALSE
account111000,111000,Reserve legale,Current Liabilities,l10n_tn_account.l10n_tn_chart_template,FALSE
account112000,112000,Reserves statutaires,Current Liabilities,l10n_tn_account.l10n_tn_chart_template,FALSE
account117100,117100,Primes d'emission,Current Liabilities,l10n_tn_account.l10n_tn_chart_template,FALSE
account117200,117200,Primes de fusion,Current Liabilities,l10n_tn_account.l10n_tn_chart_template,FALSE
account117300,117300,Primes d'apport,Current Liabilities,l10n_tn_account.l10n_tn_chart_template,FALSE
account117400,117400,Primes de conversion d'obligation,Current Liabilities,l10n_tn_account.l10n_tn_chart_template,FALSE
account117800,117800,Autres complements d'apport,Current Liabilities,l10n_tn_account.l10n_tn_chart_template,FALSE
account118100,118100,Reserves pour fonds social,Current Liabilities,l10n_tn_account.l10n_tn_chart_template,FALSE
account119000,119000,Avoirs des actionnaires,Current Liabilities,l10n_tn_account.l10n_tn_chart_template,FALSE
account121000,121000,Resultats reportes,Current Liabilities,l10n_tn_account.l10n_tn_chart_template,FALSE
account128000,128000,Modifications comptables affectant les resultats reportes,Current Liabilities,l10n_tn_account.l10n_tn_chart_template,FALSE
account131000,131000,Resultat beneficiaire,Current Liabilities,l10n_tn_account.l10n_tn_chart_template,FALSE
account135000,135000,Resultat deficitaire,Current Liabilities,l10n_tn_account.l10n_tn_chart_template,FALSE
account141000,141000,Titres soumis a des reglementations particulieres,Current Liabilities,l10n_tn_account.l10n_tn_chart_template,FALSE
account142100,142100,Reserves indisponibles,Current Liabilities,l10n_tn_account.l10n_tn_chart_template,FALSE
account143000,143000,Amortissements derogatoires,Current Liabilities,l10n_tn_account.l10n_tn_chart_template,FALSE
account144000,144000,Reserve speciale de reevaluation,Current Liabilities,l10n_tn_account.l10n_tn_chart_template,FALSE
account145100,145100,Subventions d'investissement,Current Liabilities,l10n_tn_account.l10n_tn_chart_template,FALSE
account145800,145800,Autres subventions d'investissement,Current Liabilities,l10n_tn_account.l10n_tn_chart_template,FALSE
account145900,145900,Subventions d'investissement inscrites aux comptes de resultat,Current Liabilities,l10n_tn_account.l10n_tn_chart_template,FALSE
account147000,147000,Compte du concedant,Current Liabilities,l10n_tn_account.l10n_tn_chart_template,FALSE
